City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
331,kaele,8,CM,1518561192,32,10.11,14.45,78.24,10.78
332,port blair,0,IN,1518560784,100,11.67,92.75,82.21,9.31
333,diffa,0,NE,1518561193,35,13.32,12.61,70.64,10.0
334,itarema,44,BR,1518561193,97,-2.92,-39.92,74.42,3.62
335,klaebu,0,NO,1518558600,62,63.3,10.48,32.0,6.93
336,nchelenge,0,ZM,1518560934,93,-9.35,28.74,65.38,2.93
337,chandur bazar,48,IN,1518561195,95,21.24,77.75,57.54,4.74
338,sungai pelek,75,MY,1518557400,74,2.64,101.72,78.8,5.82
339,alofi,75,NU,1518559200,79,-19.06,-169.92,84.2,5.82
340,banda aceh,44,ID,1518560358,93,5.56,95.32,75.46,2.93
341,komsomolskiy,68,RU,1518560415,84,67.55,63.78,12.82,6.85
342,borovoy,88,RU,1518561197,88,63.23,52.89,18.75,5.75
343,bethel,90,US,1518558780,95,60.79,-161.76,33.8,27.51
344,kabansk,20,RU,1518557400,75,52.06,106.65,-18.41,2.82
345,poum,92,MK,1518561197,99,41.28,20.71,32.97,1.95
346,chuguyevka,0,RU,1518561198,59,44.17,133.87,-2.58,2.28
347,sabang,92,PH,1518560700,100,13.72,123.58,76.0,16.35
348,aripuana,76,BR,1518560637,95,-9.17,-60.63,77.89,2.71
349,baykit,80,RU,1518560651,82,61.68,96.39,2.69,6.96
350,udachnyy,56,RU,1518561199,69,66.42,112.4,-5.91,5.08
351,ust-kuyga,0,RU,1518561200,60,70.0,135.55,-34.08,3.96
352,middle island,1,US,1518560100,100,40.88,-72.94,32.0,8.05
353,tulsipur,0,IN,1518561201,91,27.53,82.41,51.38,7.2
354,dicabisagan,100,PH,1518560780,100,17.08,122.42,70.15,10.65
355,mvangue,76,CM,1518561202,98,2.97,11.5,67.8,2.62
356,tulum,40,MX,1518558300,65,20.21,-87.46,82.4,17.22
357,hofn,68,IS,1518560365,100,64.25,-15.21,35.09,10.54
358,agua dulce,40,MX,1518559260,73,18.14,-94.15,77.0,11.41
359,miraflores,80,CO,1518561203,86,5.2,-73.14,56.24,1.83
360,pochutla,75,MX,1518559080,91,15.74,-96.47,89.6,11.41
361,creel,68,MX,1518561204,55,27.75,-107.63,48.77,4.07
362,san cristobal,75,EC,1518555600,52,-0.39,-78.55,66.2,18.34
363,praya,75,ID,1518559200,94,-8.71,116.27,75.2,5.82
